collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-09-06T00:40:00+00:00,2026-09-06T00:49:26.903513+00:00,2026-09-06T00:49:26.903513+00:00,2026-09-06 03:40 (Local Time),KILANI,,,,,1,7,19.4,,24.3,19.2,,1.1,,2.0,,,,,46.0,0.0,,,,,
2026-09-06T05:10:00+00:00,2026-09-06T05:11:15.997922+00:00,2026-09-06T05:11:15.997922+00:00,2026-09-06 08:00 (Local Time),KILANI,,,,,1,7,24.8,,25.1,18.5,,1.0,,277.0,,,,,52.0,0.0,,,,,
2026-09-06T09:20:00+00:00,2026-09-06T09:26:21.396765+00:00,2026-09-06T09:26:21.396765+00:00,2026-09-06 12:20 (Local Time),KILANI,,,,,1,7,30.6,,31.2,18.5,,3.0,,931.0,,,,,43.0,0.0,,,,,
2026-09-06T13:00:00+00:00,2026-09-06T13:01:00.422439+00:00,2026-09-06T13:01:00.422439+00:00,2026-09-06 15:50 (Local Time),KILANI,,,,,1,7,30.9,,32.8,18.5,,2.8,,660.0,,,,,39.0,0.0,,,,,
2026-09-06T16:00:00+00:00,2026-09-06T16:09:55.676959+00:00,2026-09-06T16:09:55.676959+00:00,2026-09-06 19:00 (Local Time),KILANI,,,,,1,7,24.4,,32.8,18.5,,0.7,,14.0,,,,,29.0,0.0,,,,,
2026-09-06T18:10:00+00:00,2026-09-06T18:17:21.822442+00:00,2026-09-06T18:17:21.822442+00:00,2026-09-06 21:10 (Local Time),KILANI,,,,,1,7,25.8,,26.1,25.6,,1.7,,2.0,,,,,21.0,0.0,,,,,
2026-09-06T20:20:00+00:00,2026-09-06T20:28:30.159611+00:00,2026-09-06T20:28:30.159611+00:00,2026-09-06 23:20 (Local Time),KILANI,,,,,1,7,25.1,,26.1,24.7,,2.3,,1.0,,,,,21.0,0.0,,,,,
2026-09-06T22:10:00+00:00,2026-09-06T22:16:29.921586+00:00,2026-09-06T22:16:29.921586+00:00,2026-09-07 01:10 (Local Time),KILANI,,,,,1,7,24.2,,26.1,24.0,,1.3,,2.0,,,,,27.0,0.0,,,,,
2026-09-06T23:50:00+00:00,2026-09-06T23:57:54.662656+00:00,2026-09-06T23:57:54.662656+00:00,2026-09-07 02:50 (Local Time),KILANI,,,,,1,7,24.5,,26.1,23.3,,0.7,,1.0,,,,,25.0,0.0,,,,,
2026-09-07T04:20:00+00:00,2026-09-07T04:22:20.401364+00:00,2026-09-07T04:22:20.401364+00:00,2026-09-07 07:10 (Local Time),KILANI,,,,,1,7,25.8,,26.1,22.0,,1.2,,105.0,,,,,24.0,0.0,,,,,
2026-09-07T09:20:00+00:00,2026-09-07T09:29:49.618570+00:00,2026-09-07T09:29:49.618570+00:00,2026-09-07 12:20 (Local Time),KILANI,,,,,1,7,31.8,,33.2,22.0,,2.2,,911.0,,,,,31.0,0.0,,,,,
2026-09-07T15:10:00+00:00,2026-09-07T15:11:23.548927+00:00,2026-09-07T15:11:23.548927+00:00,2026-09-07 18:00 (Local Time),KILANI,,,,,1,7,28.2,,33.2,22.0,,1.5,,193.0,,,,,30.0,0.0,,,,,
2026-09-07T19:00:00+00:00,2026-09-07T19:09:33.641112+00:00,2026-09-07T19:09:33.641112+00:00,2026-09-07 22:00 (Local Time),KILANI,,,,,1,7,22.2,,22.4,21.6,,0.7,,1.0,,,,,32.0,0.0,,,,,
2026-09-07T22:00:00+00:00,2026-09-07T22:01:25.148794+00:00,2026-09-07T22:01:25.148794+00:00,2026-09-08 00:50 (Local Time),KILANI,,,,,1,7,20.6,,22.4,20.0,,1.2,,1.0,,,,,38.0,0.0,,,,,
2026-09-08T00:10:00+00:00,2026-09-08T00:11:07.057495+00:00,2026-09-08T00:11:07.057495+00:00,2026-09-08 03:00 (Local Time),KILANI,,,,,1,7,21.5,,22.4,19.8,,1.2,,1.0,,,,,35.0,0.0,,,,,
2026-09-08T04:30:00+00:00,2026-09-08T04:34:16.468143+00:00,2026-09-08T04:34:16.468143+00:00,2026-09-08 07:20 (Local Time),KILANI,,,,,1,7,21.0,,22.4,17.7,,0.7,,134.0,,,,,47.0,0.0,,,,,
2026-09-08T09:00:00+00:00,2026-09-08T09:02:13.651985+00:00,2026-09-08T09:02:13.651985+00:00,2026-09-08 11:50 (Local Time),KILANI,,,,,1,7,29.9,,30.3,17.7,,1.7,,886.0,,,,,26.0,0.0,,,,,
2026-09-08T13:30:00+00:00,2026-09-08T13:30:11.960946+00:00,2026-09-08T13:30:11.960946+00:00,2026-09-08 16:20 (Local Time),KILANI,,,,,1,7,27.9,,31.4,17.7,,2.6,,543.0,,,,,43.0,0.0,,,,,
2026-09-08T17:20:00+00:00,2026-09-08T17:24:47.132510+00:00,2026-09-08T17:24:47.132510+00:00,2026-09-08 20:10 (Local Time),KILANI,,,,,1,7,19.1,,31.4,17.7,,0.3,,1.0,,,,,56.0,0.0,,,,,
2026-09-08T19:50:00+00:00,2026-09-08T19:59:34.582489+00:00,2026-09-08T19:59:34.582489+00:00,2026-09-08 22:50 (Local Time),KILANI,,,,,1,7,17.7,,19.5,17.4,,1.0,,2.0,,,,,45.0,0.0,,,,,
2026-09-08T22:30:00+00:00,2026-09-08T22:33:27.663284+00:00,2026-09-08T22:33:27.663284+00:00,2026-09-09 01:20 (Local Time),KILANI,,,,,1,7,17.1,,19.5,16.5,,1.0,,2.0,,,,,49.0,0.0,,,,,
2026-09-09T00:30:00+00:00,2026-09-09T00:30:13.860930+00:00,2026-09-09T00:30:13.860930+00:00,2026-09-09 03:20 (Local Time),KILANI,,,,,1,7,17.6,,19.5,16.5,,1.8,,3.0,,,,,38.0,0.0,,,,,
2026-09-09T05:00:00+00:00,2026-09-09T05:06:09.101463+00:00,2026-09-09T05:06:09.101463+00:00,2026-09-09 08:00 (Local Time),KILANI,,,,,1,7,25.0,,25.2,15.6,,0.7,,288.0,,,,,30.0,0.0,,,,,
2026-09-09T09:30:00+00:00,2026-09-09T09:38:10.241975+00:00,2026-09-09T09:38:10.241975+00:00,2026-09-09 12:30 (Local Time),KILANI,,,,,1,7,29.3,,29.5,15.6,,2.3,,930.0,,,,,23.0,0.0,,,,,
2026-09-09T13:50:00+00:00,2026-09-09T13:55:47.448429+00:00,2026-09-09T13:55:47.448429+00:00,2026-09-09 16:50 (Local Time),KILANI,,,,,1,7,26.9,,30.0,15.6,,2.5,,442.0,,,,,45.0,0.0,,,,,
2026-09-09T17:20:00+00:00,2026-09-09T17:26:46.269482+00:00,2026-09-09T17:26:46.269482+00:00,2026-09-09 20:20 (Local Time),KILANI,,,,,1,7,21.5,,30.0,15.6,,0.7,,1.0,,,,,72.0,0.0,,,,,
2026-09-09T19:50:00+00:00,2026-09-09T19:55:49.026263+00:00,2026-09-09T19:55:49.026263+00:00,2026-09-09 22:50 (Local Time),KILANI,,,,,1,7,19.3,,20.1,18.9,,1.2,,2.0,,,,,72.0,0.0,,,,,
2026-09-09T22:00:00+00:00,2026-09-09T22:06:37.705228+00:00,2026-09-09T22:06:37.705228+00:00,2026-09-10 01:00 (Local Time),KILANI,,,,,1,7,18.4,,20.1,18.1,,0.7,,1.0,,,,,76.0,0.0,,,,,
2026-09-10T00:00:00+00:00,2026-09-10T00:08:27.320149+00:00,2026-09-10T00:08:27.320149+00:00,2026-09-10 03:00 (Local Time),KILANI,,,,,1,7,18.0,,20.1,18.0,,1.4,,2.0,,,,,74.0,0.0,,,,,
2026-09-10T04:40:00+00:00,2026-09-10T04:42:00.328832+00:00,2026-09-10T04:42:00.328832+00:00,2026-09-10 07:30 (Local Time),KILANI,,,,,1,7,20.9,,21.2,15.9,,0.7,,165.0,,,,,64.0,0.0,,,,,
2026-09-10T09:10:00+00:00,2026-09-10T09:11:54.965978+00:00,2026-09-10T09:11:54.965978+00:00,2026-09-10 12:00 (Local Time),KILANI,,,,,1,7,28.0,,28.3,15.9,,2.2,,890.0,,,,,46.0,0.0,,,,,
2026-09-10T13:30:00+00:00,2026-09-10T13:36:09.327585+00:00,2026-09-10T13:36:09.327585+00:00,2026-09-10 16:30 (Local Time),KILANI,,,,,1,7,27.1,,28.8,15.9,,2.4,,522.0,,,,,58.0,0.0,,,,,
2026-09-10T17:00:00+00:00,2026-09-10T17:09:15.516552+00:00,2026-09-10T17:09:15.516552+00:00,2026-09-10 20:00 (Local Time),KILANI,,,,,1,7,20.6,,28.8,15.9,,1.1,,1.0,,,,,77.0,0.0,,,,,
2026-09-10T19:40:00+00:00,2026-09-10T19:41:30.588440+00:00,2026-09-10T19:41:30.588440+00:00,2026-09-10 22:30 (Local Time),KILANI,,,,,1,7,19.5,,19.8,19.0,,1.5,,2.0,,,,,72.0,0.0,,,,,
2026-09-10T21:50:00+00:00,2026-09-10T21:54:46.776739+00:00,2026-09-10T21:54:46.776739+00:00,2026-09-11 00:40 (Local Time),KILANI,,,,,1,7,17.8,,19.8,17.6,,1.3,,3.0,,,,,71.0,0.0,,,,,
2026-09-10T23:30:00+00:00,2026-09-10T23:30:55.102067+00:00,2026-09-10T23:30:55.102067+00:00,2026-09-11 02:20 (Local Time),KILANI,,,,,1,7,18.0,,19.8,17.3,,1.1,,2.0,,,,,80.0,0.0,,,,,
2026-09-11T01:20:00+00:00,2026-09-11T01:24:42.666925+00:00,2026-09-11T01:24:42.666925+00:00,2026-09-11 04:10 (Local Time),KILANI,,,,,1,7,18.8,,19.8,17.3,,0.9,,2.0,,,,,75.0,0.0,,,,,
2026-09-11T06:10:00+00:00,2026-09-11T06:10:43.847576+00:00,2026-09-11T06:10:43.847576+00:00,2026-09-11 09:00 (Local Time),KILANI,,,,,1,7,25.7,,25.9,17.1,,0.9,,498.0,,,,,49.0,0.0,,,,,
2026-09-11T11:10:00+00:00,2026-09-11T11:19:54.025145+00:00,2026-09-11T11:19:54.025145+00:00,2026-09-11 14:10 (Local Time),KILANI,,,,,1,7,29.5,,30.3,17.1,,2.8,,846.0,,,,,39.0,0.0,,,,,
2026-09-11T15:00:00+00:00,2026-09-11T15:06:25.963810+00:00,2026-09-11T15:06:25.963810+00:00,2026-09-11 18:00 (Local Time),KILANI,,,,,1,7,27.1,,30.3,17.1,,1.8,,180.0,,,,,45.0,0.0,,,,,
2026-09-11T18:20:00+00:00,2026-09-11T18:25:17.389283+00:00,2026-09-11T18:25:17.389283+00:00,2026-09-11 21:20 (Local Time),KILANI,,,,,1,7,21.0,,22.0,20.6,,0.9,,1.0,,,,,38.0,0.0,,,,,
2026-09-11T21:00:00+00:00,2026-09-11T21:06:04.276080+00:00,2026-09-11T21:06:04.276080+00:00,2026-09-12 00:00 (Local Time),KILANI,,,,,1,7,21.5,,24.9,20.6,,1.2,,2.0,,,,,26.0,0.0,,,,,
2026-09-11T23:10:00+00:00,2026-09-11T23:12:56.118621+00:00,2026-09-11T23:12:56.118621+00:00,2026-09-12 02:00 (Local Time),KILANI,,,,,1,7,21.0,,24.9,19.1,,0.9,,1.0,,,,,28.0,0.0,,,,,
2026-09-12T01:00:00+00:00,2026-09-12T01:06:34.269547+00:00,2026-09-12T01:06:34.269547+00:00,2026-09-12 04:00 (Local Time),KILANI,,,,,1,7,19.9,,24.9,19.1,,0.9,,1.0,,,,,31.0,0.0,,,,,
2026-09-12T05:40:00+00:00,2026-09-12T05:41:30.372561+00:00,2026-09-12T05:41:30.372561+00:00,2026-09-12 08:30 (Local Time),KILANI,,,,,1,7,29.0,,29.1,19.1,,0.6,,385.0,,,,,21.0,0.0,,,,,
2026-09-12T09:30:00+00:00,2026-09-12T09:35:47.093341+00:00,2026-09-12T09:35:47.093341+00:00,2026-09-12 12:30 (Local Time),KILANI,,,,,1,7,31.0,,31.2,19.1,,1.9,,903.0,,,,,34.0,0.0,,,,,
2026-09-12T13:00:00+00:00,2026-09-12T13:05:17.109424+00:00,2026-09-12T13:05:17.109424+00:00,2026-09-12 16:00 (Local Time),KILANI,,,,,1,7,29.5,,31.8,19.1,,1.6,,516.0,,,,,51.0,0.0,,,,,
2026-09-12T16:10:00+00:00,2026-09-12T16:13:46.930209+00:00,2026-09-12T16:13:46.930209+00:00,2026-09-12 19:00 (Local Time),KILANI,,,,,1,7,25.6,,31.8,19.1,,1.0,,8.0,,,,,39.0,0.0,,,,,
2026-09-12T18:20:00+00:00,2026-09-12T18:24:02.851326+00:00,2026-09-12T18:24:02.851326+00:00,2026-09-12 21:10 (Local Time),KILANI,,,,,1,7,21.7,,21.8,21.3,,0.9,,1.0,,,,,32.0,0.0,,,,,
2026-09-12T20:40:00+00:00,2026-09-12T20:42:07.166650+00:00,2026-09-12T20:42:07.166650+00:00,2026-09-12 23:30 (Local Time),KILANI,,,,,1,7,24.1,,26.4,21.3,,1.0,,1.0,,,,,26.0,0.0,,,,,
2026-09-12T22:30:00+00:00,2026-09-12T22:33:59.906377+00:00,2026-09-12T22:33:59.906377+00:00,2026-09-13 01:20 (Local Time),KILANI,,,,,1,7,21.4,,26.4,21.3,,0.4,,2.0,,,,,25.0,0.0,,,,,
2026-09-13T00:10:00+00:00,2026-09-13T00:13:29.081739+00:00,2026-09-13T00:13:29.081739+00:00,2026-09-13 03:00 (Local Time),KILANI,,,,,1,7,25.2,,26.4,21.3,,1.1,,2.0,,,,,17.0,0.0,,,,,
2026-09-13T04:40:00+00:00,2026-09-13T04:47:07.966048+00:00,2026-09-13T04:47:07.966048+00:00,2026-09-13 07:40 (Local Time),KILANI,,,,,1,7,24.9,,26.4,21.1,,0.5,,194.0,,,,,31.0,0.0,,,,,
2026-09-13T09:40:00+00:00,2026-09-13T09:46:52.706203+00:00,2026-09-13T09:46:52.706203+00:00,2026-09-13 12:40 (Local Time),KILANI,,,,,1,7,31.9,,32.9,21.1,,2.2,,917.0,,,,,42.0,0.0,,,,,
2026-09-13T13:50:00+00:00,2026-09-13T13:55:34.237638+00:00,2026-09-13T13:55:34.237638+00:00,2026-09-13 16:50 (Local Time),KILANI,,,,,1,7,30.3,,33.1,21.1,,2.6,,432.0,,,,,29.0,0.0,,,,,
2026-09-13T17:00:00+00:00,2026-09-13T17:08:48.165182+00:00,2026-09-13T17:08:48.165182+00:00,2026-09-13 20:00 (Local Time),KILANI,,,,,1,7,24.6,,33.1,21.1,,1.3,,1.0,,,,,28.0,0.0,,,,,
2026-09-13T19:20:00+00:00,2026-09-13T19:28:12.840617+00:00,2026-09-13T19:28:12.840617+00:00,2026-09-13 22:20 (Local Time),KILANI,,,,,1,7,21.6,,24.4,21.5,,0.9,,1.0,,,,,19.0,0.0,,,,,
2026-09-13T21:30:00+00:00,2026-09-13T21:37:29.618737+00:00,2026-09-13T21:37:29.618737+00:00,2026-09-14 00:30 (Local Time),KILANI,,,,,1,7,23.3,,24.4,21.5,,1.4,,1.0,,,,,15.0,0.0,,,,,
2026-09-13T23:20:00+00:00,2026-09-13T23:28:21.344836+00:00,2026-09-13T23:28:21.344836+00:00,2026-09-14 02:20 (Local Time),KILANI,,,,,1,7,23.1,,24.4,21.5,,1.3,,1.0,,,,,16.0,0.0,,,,,
2026-09-14T01:30:00+00:00,2026-09-14T01:32:07.672235+00:00,2026-09-14T01:32:07.672235+00:00,2026-09-14 04:20 (Local Time),KILANI,,,,,1,7,22.6,,24.4,21.5,,1.0,,1.0,,,,,19.0,0.0,,,,,
2026-09-14T06:50:00+00:00,2026-09-14T06:56:03.068256+00:00,2026-09-14T06:56:03.068256+00:00,2026-09-14 09:50 (Local Time),KILANI,,,,,1,7,28.0,,28.1,21.5,,2.9,,636.0,,,,,26.0,0.0,,,,,
2026-09-14T13:30:00+00:00,2026-09-14T13:32:21.016330+00:00,2026-09-14T13:32:21.016330+00:00,2026-09-14 16:20 (Local Time),KILANI,,,,,1,7,29.3,,31.9,21.5,,3.8,,514.0,,,,,25.0,0.0,,,,,
2026-09-14T18:50:00+00:00,2026-09-14T18:51:03.145353+00:00,2026-09-14T18:51:03.145353+00:00,2026-09-14 21:40 (Local Time),KILANI,,,,,1,7,22.4,,23.5,22.3,,1.6,,2.0,,,,,38.0,0.0,,,,,
2026-09-14T22:00:00+00:00,2026-09-14T22:09:28.836653+00:00,2026-09-14T22:09:28.836653+00:00,2026-09-15 01:00 (Local Time),KILANI,,,,,1,7,21.9,,23.5,21.7,,2.8,,2.0,,,,,38.0,0.0,,,,,
2026-09-15T00:30:00+00:00,2026-09-15T00:38:00.256316+00:00,2026-09-15T00:38:00.256316+00:00,2026-09-15 03:30 (Local Time),KILANI,,,,,1,7,21.7,,23.5,21.7,,2.8,,2.0,,,,,27.0,0.0,,,,,
2026-09-15T05:20:00+00:00,2026-09-15T05:23:02.426264+00:00,2026-09-15T05:23:02.426264+00:00,2026-09-15 08:10 (Local Time),KILANI,,,,,1,7,24.2,,24.4,21.2,,1.0,,315.0,,,,,29.0,0.0,,,,,
2026-09-15T10:10:00+00:00,2026-09-15T10:12:20.816896+00:00,2026-09-15T10:12:20.816896+00:00,2026-09-15 13:00 (Local Time),KILANI,,,,,1,7,29.0,,30.6,21.2,,3.1,,925.0,,,,,41.0,0.0,,,,,
